,T20,Normalized T20
259,0.805536094,2.506698339
260,0.807701413,4.022192951
261,0.806617201,3.263359059
262,0.806256443,3.01086656
263,0.806256443,3.01086656
264,0.808788544,4.783069835
265,0.806617201,3.263359059
266,0.807701413,4.022192951
267,0.805536094,2.506698339
268,0.806978281,3.516076924
269,0.808788544,4.783069835
270,0.806978281,3.516076924
271,0.806978281,3.516076924
272,0.805896008,2.758600127
273,0.805896008,2.758600127
274,0.805896008,2.758600127
275,0.805896008,2.758600127
276,0.805896008,2.758600127
277,0.808063465,4.275591113
278,0.806978281,3.516076924
279,0.808063465,4.275591113
280,0.806256443,3.01086656
281,0.805896008,2.758600127
282,0.80481723,2.003569461
283,0.806617201,3.263359059
284,0.806978281,3.516076924
285,0.805896008,2.758600127
286,0.808063465,4.275591113
287,0.805896008,2.758600127
288,0.805896008,2.758600127
289,0.805896008,2.758600127
290,0.806256443,3.01086656
291,0.806617201,3.263359059
292,0.806617201,3.263359059
293,0.806617201,3.263359059
294,0.807701413,4.022192951
295,0.807701413,4.022192951
296,0.807339685,3.769021555
297,0.805896008,2.758600127
298,0.806617201,3.263359059
299,0.80481723,2.003569461
300,0.804458278,1.752340972
301,0.805176501,2.255021217
302,0.806617201,3.263359059
303,0.805896008,2.758600127
304,0.806978281,3.516076924
305,0.807339685,3.769021555
306,0.808425842,4.529216741
307,0.808788544,4.783069835
308,0.803741335,1.250556591
309,0.806256443,3.01086656
310,0.804099647,1.501337148
311,0.806256443,3.01086656
312,0.806617201,3.263359059
313,0.805896008,2.758600127
314,0.807339685,3.769021555
315,0.803741335,1.250556591
316,0.806256443,3.01086656
317,0.806978281,3.516076924
318,0.807339685,3.769021555
319,0.805536094,2.506698339
320,0.806617201,3.263359059
321,0.805536094,2.506698339
322,0.806978281,3.516076924
323,0.805896008,2.758600127
324,0.806978281,3.516076924
325,0.806617201,3.263359059
326,0.806617201,3.263359059
327,0.806256443,3.01086656
328,0.806617201,3.263359059
329,0.806256443,3.01086656
330,0.808063465,4.275591113
331,0.806256443,3.01086656
332,0.805896008,2.758600127
333,0.807339685,3.769021555
334,0.805176501,2.255021217
335,0.806978281,3.516076924
336,0.806617201,3.263359059
337,0.806617201,3.263359059
338,0.806256443,3.01086656
339,0.806617201,3.263359059
340,0.806617201,3.263359059
341,0.805176501,2.255021217
342,0.806256443,3.01086656
343,0.806256443,3.01086656
344,0.805896008,2.758600127
345,0.805176501,2.255021217
346,0.806256443,3.01086656
347,0.807339685,3.769021555
348,0.805536094,2.506698339
349,0.807339685,3.769021555
350,0.805536094,2.506698339
351,0.807339685,3.769021555
352,0.805896008,2.758600127
353,0.806256443,3.01086656
354,0.802668314,0.499555217
355,0.805536094,2.506698339
356,0.807339685,3.769021555
357,0.806617201,3.263359059
358,0.805536094,2.506698339
359,0.805896008,2.758600127
360,0.803025669,0.749665975
361,0.807339685,3.769021555
362,0.805536094,2.506698339
363,0.80481723,2.003569461
364,0.804099647,1.501337148
365,0.806617201,3.263359059
366,0.805536094,2.506698339
367,0.805896008,2.758600127
368,0.806617201,3.263359059
369,0.804458278,1.752340972
370,0.806617201,3.263359059
371,0.806978281,3.516076924
372,0.806256443,3.01086656
373,0.805896008,2.758600127
374,0.805896008,2.758600127
375,0.806617201,3.263359059
376,0.806617201,3.263359059
377,0.806617201,3.263359059
378,0.807701413,4.022192951
379,0.805896008,2.758600127
380,0.805176501,2.255021217
381,0.805536094,2.506698339
382,0.805896008,2.758600127
383,0.805896008,2.758600127
384,0.806617201,3.263359059
385,0.808063465,4.275591113
386,0.805536094,2.506698339
387,0.806978281,3.516076924
388,0.807701413,4.022192951
389,0.806256443,3.01086656
390,0.806978281,3.516076924
391,0.805176501,2.255021217
392,0.806617201,3.263359059
393,0.805896008,2.758600127
394,0.804458278,1.752340972
395,0.805176501,2.255021217
396,0.808425842,4.529216741
397,0.806617201,3.263359059
398,0.805896008,2.758600127
399,0.806978281,3.516076924
400,0.806256443,3.01086656
401,0.806256443,3.01086656
402,0.805536094,2.506698339
403,0.806978281,3.516076924
404,0.805896008,2.758600127
405,0.806978281,3.516076924
406,0.807339685,3.769021555
407,0.806617201,3.263359059
408,0.806978281,3.516076924
409,0.807339685,3.769021555
410,0.806617201,3.263359059
411,0.806256443,3.01086656
