Label,Average Freq,Average ER
1,6.81E-06,0.658030344
1,2.82E-06,-0.67530299
1,6.81E-06,0.077955058
1,2.82E-06,0.51968451
1,3.26E-06,1.491871694
1,2.28E-06,0.129567777
1,3.26E-06,-0.559154098
1,6.87E-06,0.93154099
1,3.26E-06,0.233327152
1,6.88E-06,1.764031952
1,6.89E-06,0.740763988
1,6.90E-06,0.909659511
1,2.91E-06,-0.300609556
1,6.47E-06,2.155314709
1,3.25E-06,-1.040782423
1,3.50E-06,1.603067905
1,9.09E-06,-0.260041175
1,6.95E-06,1.155314709
1,3.55E-06,0.991871694
1,6.96E-06,0.360354491
1,3.25E-06,0.160272644
1,2.91E-06,0.114427943
1,7.00E-06,1.558129157
1,2.91E-06,#DIV/0!
1,7.03E-06,-1.201448183
1,2.91E-06,#DIV/0!
1,1.85E-06,-0.48031549
1,1.05E-06,-0.800609556
1,6.77E-06,0.658030344
1,6.76E-06,-0.911242739
1,6.47E-06,-0.024986981
1,6.48E-06,0.299085753
1,6.54E-06,2.519795006
1,6.55E-06,0.890666307
1,6.56E-06,1.227647133
1,2.82E-06,-0.008636323
1,2.82E-06,0.51968451
1,2.28E-06,0.129567777
1,2.28E-06,-0.662913473
1,2.28E-06,0.629567777
1,6.64E-06,1.210049801
1,2.91E-06,#DIV/0!
1,6.66E-06,0.313809176
1,6.66E-06,1.088296354
1,2.82E-06,1.186351177
1,6.67E-06,-0.260054795
1,6.68E-06,0.623887758
1,1.05E-06,0.199390444
1,6.69E-06,-1.781534964
1,6.70E-06,0.702612965
1,2.82E-06,0.853017844
1,6.71E-06,1.387004613
